name,parent
neck,head
thorax,neck
abdomen1,thorax
abdomen2,abdomen1
antbaseL,anttipL
eyeL,antbaseL
forelegL2,forelegL1
forelegL3,forelegL2
forelegL4,forelegL3
midlegL2,midlegL1
midlegL3,midlegL2
midlegL4,midlegL3
hindlegL2,hindlegL1
hindlegL3,hindlegL2
hindlegL4,hindlegL3
antbaseR,anttipR
eyeR,antbaseR
forelegR2,forelegR1
forelegR3,forelegR2
forelegR4,forelegR3
midlegR2,midlegR1
midlegR3,midlegR2
midlegR4,midlegR3
hindlegR2,hindlegR1
hindlegR3,hindlegR2
hindlegR4,hindlegR3
